[0.00 - 5.74]  Applause
[4241.70 - 4247.30]  across our border, were in custody and were then released into the country by this horrible,
[4247.30 - 4250.62]  horrible administration that we have right now.
[4250.62 - 4256.38]  I also met recently with the heartbroken mother and sister Rachel Moron.
[4256.38 - 4263.14]  Rachel was a 37-year-old mom of five beautiful children who was brutally raped and murdered
[4263.14 - 4267.10]  while out on her runs, she wanted to keep herself in good shape, but was very important
[4267.10 - 4268.66]  as she was murdered.
[4268.66 - 4274.10]  The monster responsible first killed another woman in El Salvador before he was led into
[4274.10 - 4275.70]  America by the White House.
[4275.70 - 4278.38]  This White House let them in.
[4278.38 - 4283.00]  He then attacked a nine-year-old girl and her mother in a home invasion in Los Angeles
[4283.00 - 4288.30]  before murdering Rachel and Marilyn, traveled all throughout the country, doing tremendous
[4288.30 - 4289.78]  damage.
[4289.78 - 4292.66]  Rachel's mother will never be the same.
[4292.66 - 4293.90]  I spend time with her.
[4293.90 - 4295.70]  She will never be the same.
[4295.70 - 4303.46]  I've also met with the wonderful family of Laken Riley, the brilliant 22-year-old nursing
[4303.46 - 4304.46]  student.
[4304.46 - 4310.80]  She was so proud of being first in her class who was out for a jog on the campus of the
[4310.80 - 4316.58]  University of Georgia when she was assaulted, beaten, and horrifically killed.
[4316.58 - 4322.46]  Yet another American life was stolen by a criminal alien set free by this administration.
[4322.46 - 4325.46]  These were incredible people we're talking about.
[4325.46 - 4328.58]  These were incredible people who died.
[4328.58 - 4331.22]  In the United America, this is my vow.
[4331.22 - 4343.78]  I will not let these killers and criminals into our country.
[4343.78 - 4347.58]  I will keep our sons and daughters safe.
[4347.58 - 4353.82]  As we bring security to our streets, we will help bring stability to the world.
[4353.82 - 4358.94]  I was the first president in modern times to start no new wars.
[4358.94 - 4359.94]  You know, we were the toughest.
[4359.94 - 4361.94]  We were the most respected.
[4361.94 - 4367.66]  And you saw this.
[4367.66 - 4372.22]  Hungry, strong country run by very powerful, tough, leader, tough guy.
[4372.22 - 4374.90]  Press doesn't like him because he's tough.
[4374.90 - 4376.54]  And he came out recently.
[4376.54 - 4380.86]  They were asking him at an interview, the whole world is exploding.
[4380.86 - 4381.86]  What's happening?
[4381.86 - 4382.86]  What's going on?
[4383.26 - 4389.58]  Victor Orban, Prime Minister of Hungary, very tough man.
[4389.58 - 4393.74]  He said, I don't want people coming into my country and blowing up our shopping centers
[4393.74 - 4396.06]  and killing people.
[4396.06 - 4400.86]  But they said to him, tell us what's going wrong, what's happening, what is it?
[4400.86 - 4403.14]  He said, there's only one way you're going to solve it.
[4403.14 - 4409.58]  You got to bring President Trump back to the United States because he kept everybody
[4409.58 - 4410.58]  at bay.
[4410.90 - 4418.66]  He used a word, I wouldn't use because I can't use that word because you'd say it was
[4418.66 - 4419.66]  braggadocious.
[4419.66 - 4421.18]  The press would say he was a braggart.
[4421.18 - 4422.86]  I'm not a braggart.
[4422.86 - 4424.98]  But Victor Orban said it.
[4424.98 - 4427.34]  He said, Russia was afraid of him.
[4427.34 - 4429.82]  China was afraid of him.
[4429.82 - 4431.66]  Everybody was afraid of him.
[4431.66 - 4433.90]  Nothing was going to happen.
[4433.90 - 4436.18]  The whole world was at peace.
[4436.18 - 4440.06]  And now the world is blowing up around us.
[4440.06 - 4444.78]  All of these things that you read about were not going to happen.
[4444.78 - 4449.70]  Under President Bush, Russia invaded Georgia.
[4449.70 - 4454.58]  Under President Obama, Russia took Crimea.
[4454.58 - 4460.54]  Under the current administration, Russia is after all of Ukraine.
[4460.54 - 4464.54]  Under President Trump, Russia took nothing.
[4470.06 - 4486.26]  We defeated 100 percent of ISIS in Syria and Iraq, something that was said to take five
[4486.26 - 4490.30]  years, sir, it'll take five years, sir.
[4490.30 - 4492.58]  We did it in a matter of a couple of months.
[4492.58 - 4493.86]  We have a great military.
[4493.86 - 4494.86]  Our military is not woke.
[4494.86 - 4498.62]  It's just some of the fools on top that are woke.
[4498.62 - 4507.62]  I got along very well.
[4507.62 - 4510.38]  North Korea, Kim Jong-un, I got along very well with him.
[4510.38 - 4511.66]  The press hated when I said that.
[4511.66 - 4513.62]  How could you get along with him well?
[4513.62 - 4518.86]  It's nice to get along with somebody who has a lot of nuclear weapons or otherwise, isn't
[4518.86 - 4519.86]  it?
[4519.86 - 4522.78]  See, in the old days they say, that's a wonderful thing.
[4522.78 - 4526.34]  Now they say, how can you possibly do that?
[4526.34 - 4531.46]  Now I got along with him and we stopped the missile launchers from North Korea now.
[4531.46 - 4536.94]  North Korea is acting up again, but when we get back, I get along with him.
[4536.94 - 4538.58]  He'd like to see me back too.
[4538.58 - 4544.34]  I think he misses me if you want to know the truth.
[4544.34 - 4548.98]  Our opponents inherited a world that peace and turned it into a planet of war.
[4548.98 - 4551.74]  We're in a planet of war.
[4551.74 - 4553.34]  Look at that attack on Israel.
[4553.34 - 4557.22]  Look at what's happening with Ukraine.
[4557.22 - 4559.18]  The cities are just bombed out.
[4559.18 - 4560.50]  How can people live like that?
[4560.50 - 4565.50]  Where buildings, massive buildings are falling to the ground.
[4565.50 - 4570.62]  It began to unravel with the disastrous withdrawal from Afghanistan, the worst humiliation
[4570.62 - 4571.94]  in the history of our country.
[4571.94 - 4575.02]  We have never had a humiliation like that.
[4575.02 - 4579.82]  13 heroic U.S. service members were tragically and needlessly killed.
[4579.82 - 4581.90]  45 others were horrifically wounded.
[4581.90 - 4584.14]  Nobody ever talks about them.
[4584.14 - 4591.46]  No arms, no legs, face explosions, horrifically wounded.
[4591.46 - 4598.78]  And by the way, we have a man in this room who's running for the U.S.
[4598.78 - 4609.62]  Center from a great state, Nevada, named Sam Brown, who paid the ultimate price.
[4609.62 - 4611.70]  Thank you, Sam.
[4611.70 - 4615.30]  Thank you, Sam.
[4615.30 - 4620.22]  Thank you.
[4620.22 - 4626.58]  He paid the biggest price, probably ever paid by anybody that is running for office, and
[4626.58 - 4628.94]  I think he's going to do great.
[4628.94 - 4635.22]  He's running against a person that is not good, not respected, a total lightweight.
[4635.22 - 4636.58]  But Sam, I think paid really.
[4636.58 - 4643.00]  We were talking about it with some of the senators that are working so hard for Sam, but
[4643.00 - 4647.54]  he paid the biggest price of any senator ever to run for the Senate.
[4647.54 - 4649.86]  I don't think anybody's ever what he did.
[4649.86 - 4653.42]  He was a real hero, a really great person, and he's running.
[4653.42 - 4657.94]  And I hope that everybody gets out and votes for Sam Brown.
[4657.94 - 4670.86]  And we also left behind $85 billion worth of military equipment, along with many American
[4670.86 - 4674.34]  citizens who left behind.
[4674.34 - 4679.78]  Many, many American citizens, emboldened by that disaster Russia invaded Ukraine.
[4679.78 - 4682.46]  They saw this group of people that were incompetent.
[4682.46 - 4683.82]  We took the soldiers out first.
[4683.82 - 4686.50]  No, no, we're going to take the soldiers out second.
[4686.50 - 4687.78]  They would have followed my plan.
[4687.78 - 4689.50]  We had a great plan.
[4689.50 - 4693.90]  But the plan only kicked in if they did everything perfectly, and they weren't doing things perfectly,
[4693.90 - 4695.90]  so we said it doesn't kick in.
[4695.90 - 4701.28]  You know, 18 months in Afghanistan, we didn't have one, so they were killing them left and
[4701.28 - 4703.98]  right snipers.
[4703.98 - 4707.82]  And I spoke to the head of the Taliban.
[4707.82 - 4709.46]  You've heard this story.
[4709.46 - 4713.06]  Abdul, still there, still the head of the Taliban.
[4713.06 - 4714.06]  The press got on me.
[4714.06 - 4715.06]  Why would you speak to him?
[4715.06 - 4717.30]  He said, because that's where the killing is.
[4717.30 - 4720.54]  I don't have to speak to somebody that has nothing to do with it.
[4720.54 - 4722.82]  And I told him, don't ever do that.
[4722.82 - 4724.02]  Don't ever do that again.
[4724.02 - 4725.58]  Don't ever, ever do that again.
[4725.58 - 4727.10]  You're going to stop.
[4727.10 - 4732.74]  Because during the Obama administration, many great people and soldiers, a lot of soldiers
[4732.74 - 4734.46]  were being killed from a long distance.
[4734.46 - 4738.78]  And I said, if you keep doing that, you're going to be hit harder than anybody's ever been
[4738.78 - 4740.18]  hit by a country before.
[4740.18 - 4750.50]  And he said, I understand your excellency.
[4750.50 - 4753.42]  Call me your excellency.
[4753.42 - 4755.42]  I wonder if he calls the other guy your excellency.
[4755.42 - 4756.42]  I doubt him.
[4756.42 - 4758.26]  The other guy gave him everything.
[4758.26 - 4759.82]  I mean, what kind of a deal was that?
[4759.82 - 4762.26]  He walked out, gave him everything.
[4762.26 - 4767.66]  You know that right now, Afghanistan is one of the largest sellers of weapons in the
[4767.66 - 4774.26]  world, the selling the brand new beautiful weapons that we gave them.
[4774.26 - 4780.14]  But think of it, he actually said to me, but why but why do you show me a picture of my
[4780.14 - 4781.14]  home?
[4781.14 - 4788.10]  I said, you'll have to ask your people, or one of your wives.
[4788.10 - 4789.38]  But he could figure it out.
[4789.38 - 4797.22]  And for 18 months, we had not one attack on an American soldier by the Taliban.
[4797.22 - 4806.66]  18 months.
[4806.66 - 4809.30]  And then we had that horrible day where soldiers were killed.
[4809.30 - 4813.38]  I was not there because of a ridiculous election.
[4813.38 - 4815.98]  But we had that horrible attack.
[4815.98 - 4820.78]  And they also gave a bug, or one of the biggest bases anywhere in the world air bases, anywhere
[4820.78 - 4826.14]  in the world, the longest runways, most powerful hardened thickened runways.
[4826.14 - 4830.94]  And I liked it, not because of Afghanistan, I liked it because of China.
[4830.94 - 4835.06]  It's one hour away from where China makes their nuclear weapons.
[4835.06 - 4837.34]  And you know who has it now?
[4837.34 - 4839.30]  China has it now.
[4839.30 - 4843.42]  We were keeping that.
[4843.42 - 4849.10]  And now China is likewise circling Taiwan and Russian warships and nuclear submarines are
[4849.10 - 4852.90]  operating 60 miles off the coast in Cuba.
[4852.90 - 4853.90]  Do you know that?
[4853.90 - 4856.02]  The press refuses to write about it.
[4856.02 - 4858.06]  That were me running this country.
[4858.06 - 4861.82]  And we had nuclear submarines in Cuba.
[4861.82 - 4866.22]  I will tell you that headlines every day would be what's wrong with our president.
[4866.22 - 4867.22]  You don't even hear this.
[4867.22 - 4868.74]  You're not hearing about this.
[4868.74 - 4877.42]  Russia has nuclear submarines and warships 60 miles away, Mr. Congressman, from Miami,
[4877.42 - 4879.42]  by the way, happens to be here.
[4879.42 - 4880.42]  Correct?
[4881.42 - 4883.62]  In Cuba.
[4883.62 - 4886.14]  And that would not be stood for if or somebody else.
[4886.14 - 4890.58]  They don't even meant, they don't want to mention it, but now maybe they will.
[4890.58 - 4896.62]  And the entire world, I tell you this, we want our hostages back.
[4896.62 - 4900.14]  And they better be back before I assume office.
[4900.14 - 4902.14]  Well, you will be paying a very big price.
[4910.42 - 4926.66]  With our victory in November, the years of war, weakness, and chaos will be over.
[4926.66 - 4928.70]  I don't have wars.
[4928.70 - 4932.66]  I had no wars other than ISIS, which I defeated, but that was a war that was started.
[4932.66 - 4933.74]  We had no wars.
[4933.74 - 4937.22]  I could stop wars with a telephone call.
[4937.22 - 4941.70]  I could stop wars with just a telephone call.
[4941.70 - 4945.58]  If properly stated, it would never start.
[4945.58 - 4951.06]  We will replenish our military and build an iron dome missile defense system to ensure
[4951.06 - 4954.34]  that no enemy can strike our homeland.
[4954.34 - 4959.78]  And this great iron dome will be built entirely in the USA.
[4959.78 - 4961.78]  We're going to build it.
[4961.78 - 4963.30]  The USA.
[4963.30 - 4966.66]  And Wisconsin.
[4966.66 - 4972.66]  Wisconsin, just like I gave you that massive ship contract, and you're doing a very nice
[4972.66 - 4976.46]  job, Governor, right?
[4976.46 - 4977.62]  Thank you, Governor.
[4977.62 - 4978.78]  And they're doing a great job.
[4978.78 - 4982.14]  In fact, I had a little design change and we gave them a tremendous force.
[4982.14 - 4984.78]  Essentially, what we used to call destroyers.
[4984.78 - 4987.14]  These are now the most beautiful.
[4987.14 - 4990.74]  They look like, yes, they said, we have to take the bow and we have to make it a little
[4990.74 - 4994.98]  nicer and a little point at the top instead of a flat nose.
[4994.98 - 4998.18]  And the people at the shipyard said, this guy sort of knows what he's doing.
[4998.18 - 5000.70]  We have most beautiful ships, right, Governor?
[5000.70 - 5002.74]  Everybody's sitting over there.
[5002.74 - 5004.90]  And it was a big contract that everybody wanted.
[5004.90 - 5006.38]  I gave it to Wisconsin.
[5006.38 - 5012.14]  But we're going to have a lot of that built right here in the state of Wisconsin and all
[5012.14 - 5013.54]  other states.
[5013.54 - 5015.06]  Israel has an iron dome.
[5015.06 - 5017.54]  They have a missile defense system.
[5017.54 - 5021.18]  342 missiles were shot into Israel.
[5021.18 - 5022.70]  And only one got through a little bit.
[5022.70 - 5023.70]  It was badly wounded.
[5023.70 - 5024.70]  It fell to the ground.
[5024.70 - 5025.98]  But most of them are.
[5025.98 - 5030.10]  And Ronald Reagan wanted this many years ago, but we really didn't have the technology many
[5030.10 - 5031.10]  years ago.
[5031.10 - 5035.94]  Remember they called it starship, spaceship, anything to mock him.
[5035.94 - 5042.50]  But he was a very good president, very, very good.
[5042.50 - 5045.62]  But now we have unbelievable technology.
[5045.62 - 5047.78]  And why should other countries have this?
[5047.78 - 5048.78]  And we don't.
[5048.78 - 5050.98]  No, no, we're going to build an iron dome over our country.
[5050.98 - 5056.10]  We're going to be sure that nothing can come and harm our people.
[5056.10 - 5060.50]  And again, from an economic development standpoint, we're going to make it all right here.
[5060.50 - 5063.54]  No more sending it out to other countries in order to help.
[5063.54 - 5065.34]  It's America first.
[5065.34 - 5067.66]  America for it.
[5067.66 - 5071.22]  We will unleash the power of American innovation.
[5071.22 - 5076.74]  And as we do, we will soon be on the verge of finding the cures to cancer, Alzheimer's
[5076.74 - 5079.50]  disease, and many other diseases.
[5079.50 - 5083.58]  We're going to get to the bottom of it.
[5083.58 - 5087.94]  You remember this gentleman that I don't want to mention other than one time I had to,
[5087.94 - 5090.90]  because when you say you're the 10 worst, I had to do it.
[5090.90 - 5094.38]  I didn't want anybody to be confused.
[5094.38 - 5096.82]  But this man said, we're going to find the cure to cancer.
[5096.82 - 5097.82]  Nothing happened.
[5097.82 - 5102.30]  We're going to get to the cure for cancer and Alzheimer's and so many other things were
[5102.30 - 5105.78]  so close to doing something great.
[5105.78 - 5109.70]  We need a leader that will let it be done.
[5109.70 - 5116.10]  We will not have men playing in women's sports that will end immediately.
[5116.10 - 5130.82]  And we will restore and renovate our nations once great cities, making them safe, clean,
[5130.82 - 5132.30]  and beautiful again.
[5132.30 - 5137.86]  And that includes our nation's capital, which is a horrible killing field.
[5137.86 - 5139.82]  So many things they leave from Wisconsin.
[5139.82 - 5141.66]  They go to look at the Washington Monument.
[5141.66 - 5144.86]  They end up getting stabbed, killed or shot.
[5144.86 - 5156.70]  We will be very soon, very proud of our capital, again, Washington, D.C.
[5156.70 - 5163.82]  America is on the cusp of a new golden age, but we will have the courage to seize it.
[5163.82 - 5164.86]  We're going to take it.
[5164.86 - 5169.42]  We're going to make it a current, I mean, and we're going to bring this into a golden age
[5169.42 - 5171.10]  like never seen before.
[5171.10 - 5173.98]  Remember this, China wants to do it, Japan wants to do it.
[5173.98 - 5176.02]  All of these countries want to do it.
[5176.02 - 5183.06]  We have to produce massive amounts of energy if we're going to produce the new, if you look
[5183.06 - 5188.86]  at some of the things that have been done and some of the things that we're going to do.
[5188.86 - 5197.66]  But AI needs tremendous, literally twice the electricity that's available now in our country.
[5197.66 - 5199.30]  Can you imagine?
[5199.30 - 5204.50]  But instead we're spending places where they recharge electric cars.
[5204.50 - 5209.50]  They built eight charges at a certain location toward the Midwest.
[5209.50 - 5212.78]  Eight charges for $9 billion.
[5212.78 - 5217.54]  Think of them as a tank for filling up your gas.
[5217.54 - 5218.54]  Think of it.
[5218.54 - 5226.82]  They spent $9 billion on eight charges, three of which didn't work.
[5226.82 - 5231.90]  And if you are going to do this all over our country, this crazy electric mandate, if
[5231.90 - 5237.14]  you're going to do this, and by the way, I'm all for electric, they have their application.
[5237.14 - 5243.46]  And if somebody wants to buy a gas, powered car, gasoline, powered car, or a hybrid, they're
[5243.46 - 5245.10]  going to be able to do it.
[5245.10 - 5257.70]  And we're going to make that change on day one.
[5257.70 - 5265.70]  So to conclude, just a few short days ago, my journey with you nearly ended.
[5265.70 - 5267.06]  We know that.
[5267.06 - 5273.30]  And yet, here we are tonight all gathered together, talking about the future promise and a
[5273.30 - 5277.34]  total renewal of a thing we love very much.
[5277.34 - 5279.54]  It's called America.
[5279.54 - 5281.62]  We live in a world of miracles.
[5281.62 - 5287.10]  None of us knows God's plan or where life's adventure will take us.
[5287.10 - 5293.82]  I want to thank Franklin Graham for being here tonight as an outstanding man.
[5294.82 - 5297.14]  He wrote me a note recently.
[5297.14 - 5298.94]  I have a lot of respect for him.
[5298.94 - 5301.50]  Sir, I love your storytelling.
[5301.50 - 5303.62]  I think it's great in front of these big rallies.
[5303.62 - 5305.82]  But sir, please do me one favor.
[5305.82 - 5307.70]  It won't make any difference.
[5307.70 - 5312.74]  Please don't use any foul language.
[5312.74 - 5315.74]  I was a little embarrassed.
[5315.74 - 5317.14]  He said it won't make any difference.
[5317.14 - 5321.46]  Actually, it's not quite as good, but I've been very good.
[5321.46 - 5324.10]  The story is not quite as good to be honest.
[5324.10 - 5326.02]  I've got to have a little talk with Franklin.
[5326.02 - 5327.02]  But he was great.
[5327.02 - 5328.58]  He's a great gentleman.
[5328.58 - 5330.10]  His father was so incredible.
[5330.10 - 5331.62]  Billy Graham.
[5331.62 - 5335.66]  My father used to love taking me to see Billy Graham.
[5335.66 - 5339.62]  My father would take me to see Billy Graham at Yankee Stadium.
[5339.62 - 5341.46]  He had the biggest rally scene.
[5341.46 - 5344.46]  He was a good rally guy too.
[5344.46 - 5347.18]  But he'd get up and he was a fantastic guy.
[5347.18 - 5350.30]  My father loved Billy Graham.
[5350.30 - 5351.58]  But I love Franklin Graham.
[5351.58 - 5353.34]  I think Franklin's been fantastic.
[5353.34 - 5353.94]  And I'm trying.
[5353.94 - 5357.70]  I'm working so hard to adhere to his note to me.
[5357.70 - 5360.74]  I'm working hard on it, Franklin.
[5360.74 - 5364.18]  But if the events of last Saturday make anything clear,
[5364.18 - 5367.70]  it is that every single moment we have on Earth
[5367.70 - 5369.14]  is a gift from God.
[5369.14 - 5378.22]  We have to make the most of every day for the people
[5378.22 - 5380.94]  and for the country that we love.
[5380.94 - 5384.46]  The attacker in Pennsylvania wanted to stop our movement.
[5384.46 - 5388.66]  But the truth is, the movement has never been about me.
[5388.66 - 5390.02]  It has always been about you.
[5390.02 - 5390.82]  It's your movement.
[5390.82 - 5392.90]  It's the biggest movement in the history of our country
[5392.90 - 5394.14]  by far.
[5394.14 - 5397.30]  Can't be stopped.
[5397.30 - 5399.06]  It can't be stopped.
[5399.06 - 5402.98]  It has always been about the hardworking patriotic citizens
[5402.98 - 5404.90]  of America.
[5404.90 - 5407.70]  For too long, our nation has settled for too little.
[5407.70 - 5410.18]  We've settled for too little.
[5410.18 - 5413.82]  We've given everything to other nations, to other people.
[5413.82 - 5416.22]  You've been told to lower your expectations
[5416.22 - 5418.62]  and to accept less for your families.
[5418.62 - 5422.26]  I am here tonight with the opposite message.
[5422.26 - 5424.98]  Your expectations are not big enough.
[5424.98 - 5425.98]  They're not big enough.
[5425.98 - 5433.86]  It is time to start expecting and demanding the best
[5433.86 - 5437.54]  leadership in the world, leadership that is bold, dynamic,
[5437.54 - 5439.26]  relentless, and fearless.
[5439.26 - 5440.94]  We can do that.
[5440.94 - 5442.02]  We are Americans.
[5442.02 - 5443.90]  Ambition is our heritage.
[5443.90 - 5446.54]  Greatness is our birthright.
[5446.54 - 5449.98]  But as long as our energies are spent fighting each other,
[5449.98 - 5453.78]  our destiny will remain out of reach.
[5453.78 - 5455.86]  And that's not acceptable.
[5455.90 - 5459.42]  We must instead take that energy and use it to realize
[5459.42 - 5463.78]  our country's true potential and write our own thrilling
[5463.78 - 5466.18]  chapter of the American story.
[5466.18 - 5467.30]  We can do it together.
[5467.30 - 5468.18]  We will unite.
[5468.18 - 5469.94]  We are going to come together.
[5469.94 - 5472.62]  And success will bring us together.
[5472.62 - 5485.46]  It is a story of love, sacrifice, and so many other things
[5485.46 - 5488.58]  and remember the word devotion.
[5488.58 - 5491.38]  It's unmatched devotion.
[5491.38 - 5495.34]  Our American ancestors, cross the Delaware, survived the icy
[5495.34 - 5499.18]  winter at Valley Forge and defeated a mighty empire to
[5499.18 - 5502.22]  establish our cherished republic.
[5502.22 - 5503.22]  They fought so hard.
[5503.22 - 5505.02]  They lost so many.
[5505.02 - 5508.26]  They pushed thousands and thousands of miles across a
[5508.26 - 5512.14]  dangerous frontier, taming the wilderness to build a life
[5512.14 - 5515.30]  and a magnificent home for their family.
[5515.30 - 5517.82]  They packed their families into covered wagons,
[5517.82 - 5524.38]  trekked across hazardous trails, scaled towering mountains,
[5524.38 - 5528.14]  and braved rivers and rapids to stake their claim on the
[5528.14 - 5533.18]  wide open, new, and very beautiful frontier.
[5533.18 - 5536.30]  When our way of life was threatened American patriots marched
[5536.30 - 5540.54]  onto the battlefield, raced into enemy strongholds and
[5540.54 - 5545.34]  stared down death and stared down those enemies to keep
[5545.34 - 5547.78]  alive the flame of freedom.
[5547.78 - 5551.74]  At Yorktown, Gettysburg, and Midway, they joined the
[5551.74 - 5553.66]  roll call of immortal heroes.
[5553.66 - 5556.02]  So many horror, just so many heroes.
[5556.02 - 5558.30]  So many great, great people.
[5558.30 - 5560.02]  And we have to cherish those people.
[5560.02 - 5561.46]  We can't forget those people.
[5561.46 - 5563.18]  We have to cherish those people.
[5563.18 - 5571.62]  And building monuments to those great people is a good
[5571.62 - 5574.86]  thing, not a bad thing.
[5574.86 - 5578.30]  They saved our country.
[5578.30 - 5580.82]  No challenge was too much.
[5580.82 - 5583.98]  No hardship was too great.
[5583.98 - 5586.26]  No enemy was too fierce.
[5586.26 - 5590.58]  Together these patriots sold it on and endured, and they
[5590.58 - 5594.50]  prevailed, because they had faith in each other, faith in
[5594.50 - 5597.58]  their country, and above all they had faith in their God.
[5597.58 - 5607.54]  Just like our ancestors, we must now come together, rise
[5607.54 - 5610.42]  above past differences.
[5610.42 - 5614.42]  Any disagreements have to be put aside and go forward united
[5614.42 - 5619.42]  as one people, one nation pledging allegiance to one great,
[5619.42 - 5622.82]  beautiful, I think it's so beautiful, American flag.
[5622.82 - 5631.46]  Tonight I ask for your partnership, for your support, and I
[5631.46 - 5634.94]  am humbly asking for your vote.
[5634.94 - 5638.02]  Want your vote?
[5638.02 - 5641.38]  Can I make our country great again?
[5641.38 - 5644.94]  Every day I will strive to honor the trust you have placed in
[5644.94 - 5648.22]  me, and I will never, ever let you down.
[5648.22 - 5652.42]  And I promise that I will never let you down.
[5652.42 - 5657.06]  To all of the forgotten men and women who have been neglected, abandoned, and
[5657.06 - 5661.70]  left behind, you will be forgotten no longer.
[5661.70 - 5666.50]  We will press forward and together we will win, win, win.
[5678.22 - 5688.86]  Win, win, win, win, win, win, win.
[5688.86 - 5694.66]  Nothing will sway us, nothing will slow us, and no one will ever
[5694.66 - 5699.26]  stop us.
[5699.26 - 5702.78]  No matter what dangers come our way, no matter what obstacles lie
[5702.78 - 5707.42]  in our path, we will keep striving toward our shared and glorious
[5707.42 - 5710.82]  destiny, and we will not fail.
[5710.82 - 5713.82]  We will not fail.
[5713.82 - 5720.30]  Together we will save this country, we will restore the
[5720.30 - 5724.66]  republic, and we will usher in the rich and wonderful
[5724.66 - 5728.90]  tomorrows that our people so truly deserve.
[5728.90 - 5733.70]  America's future will be bigger, better, bolder, brighter,
[5733.70 - 5737.38]  happier, stronger, freer, greater, and more
[5737.38 - 5744.38]  united than ever before.
[5744.38 - 5761.54]  And quite simply put, we will very quickly make America great again.
[5761.54 - 5763.54]  Thank you very much.
[5763.54 - 5764.54]  Thank you very much.
[5764.54 - 5767.94]  God bless you.
[5767.94 - 5771.54]  God bless you, Wisconsin, and God bless the United States of
[5771.54 - 5772.94]  America, our great country.
[5772.94 - 5774.74]  Thank you very much, everybody.
[5774.74 - 5775.74]  Thank you.
[5806.74 - 5810.74]  Oh, God, I'm coming.
[5810.74 - 5812.74]  I'm going to throw it away.
[5812.74 - 5814.74]  I think it's safer.
[5814.74 - 5819.74]  We don't need to reach out the bell.
[5819.74 - 5823.74]  We'll think of, and go down.
[5823.74 - 5827.74]  In a river of trouble, about to drown.
[5827.74 - 5832.74]  Oh, God, I'm coming.
[5833.74 - 5836.74]  Oh, God, I'm coming.
[5836.74 - 5840.74]  Oh, God, I'm coming.
[5840.74 - 5845.74]  Oh, God, I'm coming.
[5845.74 - 5849.74]  Oh, God, I'm coming.
[5849.74 - 5853.74]  When you get closer, be your cover.
[5853.74 - 5856.74]  When you know I'm here.
[5857.74 - 5862.74]  No need to suffer, because I'm here.
[5862.74 - 5866.74]  Oh, God, I'm coming.
[5866.74 - 5870.74]  Oh, God, I'm coming.
[5870.74 - 5875.74]  Oh, God, I'm coming.
[5875.74 - 5881.74]  Oh, God, I'm coming.
[5881.74 - 5893.74]  Is there something to tell you about?
[5893.74 - 5896.70]  No need to suffer.
[5896.70 - 5905.68]  No need to suffer.
[5905.68 - 5909.84]  Oh, God, I'm coming.
[6209.84 - 6219.38]  That heavy rainarlos!!
[6279.38 - 6281.38]  Oh, my God.
[6281.38 - 6283.38]  Oh, my God.
[6283.38 - 6285.38]  Oh, my God.
[6285.38 - 6287.38]  Oh, my God.
[6315.38 - 6317.38]  Oh, my God.
[6317.38 - 6319.38]  Oh, my God.
[6319.38 - 6321.38]  Oh, my God.
[6321.38 - 6323.38]  Oh, my God.
[6323.38 - 6327.38]  Oh, my god, who you.
[6327.38 - 6329.38]  You're trapped.
[6329.38 - 6333.38]  You can't let your neighbor back.
[6333.38 - 6335.38]  Let alone used to be in my hope,
[6335.38 - 6341.38]  It can melt in the steam.
[6341.38 - 6346.38]  I'm not a man, I'm not a man
[6346.38 - 6351.38]  And I miss this guy's pin and I miss the phone free away
[6351.38 - 6356.38]  From a toast to California to a show of the family
[6356.38 - 6361.38]  You can set you alive, you've got back into USA
[6372.38 - 6381.38]  Look at how I pull down and search for a corner to head
[6381.38 - 6387.38]  That's my purpose as a woman over here the nine days
[6387.38 - 6392.38]  Get your boxes, you're nothing like it does in the USA
[6392.38 - 6397.38]  Yeah, I'm just a man of being living in the USA
[6397.38 - 6403.38]  Yeah, I'm just a man of being living in the USA
[6403.38 - 6409.38]  And a thing you want that you give it back to the USA
[6428.38 - 6434.38]  I'm not a man, I'm not a man, I'm not a man
[6434.38 - 6442.38]  And I miss this guy's pin and I miss the phone free away
[6442.38 - 6447.38]  From a toast to California to a show of the family
[6447.38 - 6452.38]  You can set you alive, you've got back into USA
[6453.38 - 6458.38]  And a thing you want that you give it back to the USA
[6458.38 - 6465.38]  Yeah, I'm just a man of being living in the USA
[6465.38 - 6473.38]  Yeah, I'm just a man of being living in the USA
[6482.38 - 6488.38]  You can set you alive, you've got back into USA
[6513.38 - 6518.38]  I'm just a man of being living in the USA
[6527.38 - 6530.38]  I've a role for four days
[6530.38 - 6535.38]  That sound a little rock wouldn't be in the haze
[6535.38 - 6538.38]  Sweet sweet cannon was digging our ass
[6539.38 - 6543.38]  She's all the whole show and that's a natural fact
[6543.38 - 6547.38]  But my own life, I'm afraid it can't
[6547.38 - 6550.38]  I got to tell you a focus is the thing
[6550.38 - 6554.38]  Who made it to be right
[6554.38 - 6557.38]  As long as we can make it to the show tonight
[6557.38 - 6560.38]  We're in America man
[6560.38 - 6564.38]  We're in America man
[6565.38 - 6567.38]  We're coming to your town
[6567.38 - 6569.38]  We're in a good party at town
[6569.38 - 6571.38]  We're in a American man
[6581.38 - 6584.38]  Boy are your kiddos at all
[6584.38 - 6588.38]  Waiting for the band at the end of the show tonight
[6588.38 - 6591.38]  Feeling you feel right as Saturday night
[6592.38 - 6595.38]  The whole town of Texas was out of sight
[6596.38 - 6599.38]  These five ladies had a prayer
[6599.38 - 6601.38]  They was out for a beer
